PERMNO,date,TICKER,HSICMG,BIDLO,ASKHI,PRC,VOL,OPENPRC,sprtrn
84398,08/10/2000,SPY,,146.28125,147.85938,146.71875,4188399,147.53125,-0.008568
84398,08/11/2000,SPY,,145.56250,148.00000,147.32813,5080899,146.62500,0.007937
84398,08/14/2000,SPY,,147.06250,149.56250,149.28125,2917199,147.78125,0.013398
84398,08/15/2000,SPY,,148.56250,149.81250,149.15625,5547599,149.34375,-0.004780
84398,08/16/2000,SPY,,147.84375,149.93750,148.62500,5136899,149.31250,-0.003085
84398,08/17/2000,SPY,,148.34375,150.43750,150.18750,5612799,148.68750,0.010961
84398,08/18/2000,SPY,,149.21875,150.37500,149.68750,4620799,150.37500,-0.002908
84398,08/21/2000,SPY,,149.40625,150.71875,150.56250,2359899,150.03125,0.005202
84398,08/22/2000,SPY,,150.09375,151.31250,150.31250,3017899,150.56250,-0.000900
84398,08/23/2000,SPY,,149.28125,151.28125,150.84375,5477500,149.81250,0.005233
84398,08/24/2000,SPY,,150.50000,151.54688,151.31250,4522399,151.15625,0.001554
84398,08/25/2000,SPY,,150.93750,151.62500,151.25000,2820399,151.15625,-0.001233
84398,08/28/2000,SPY,,151.25000,152.90625,151.76563,5497399,151.25000,0.005072
84398,08/29/2000,SPY,,150.90625,151.87500,151.79688,3528199,151.43750,-0.002807
84398,08/30/2000,SPY,,150.34375,151.50000,150.34375,3948599,151.31250,-0.004802
84398,08/31/2000,SPY,,150.90625,153.09375,152.34375,4820800,151.06250,0.010043
84398,09/01/2000,SPY,,152.00000,153.59375,152.37500,3152899,153.25000,0.002036
84398,09/05/2000,SPY,,150.81250,152.20313,151.28125,3450399,151.87500,-0.009002
84398,09/06/2000,SPY,,149.53125,151.78125,149.78125,4164099,151.18750,-0.009840
84398,09/07/2000,SPY,,149.82813,151.07813,150.84375,4078799,150.25000,0.006876
84398,09/08/2000,SPY,,149.32813,150.50000,149.81250,3476099,150.28125,-0.005331
84398,09/11/2000,SPY,,148.68750,151.18750,149.59375,3933799,149.75000,-0.003506
84398,09/12/2000,SPY,,148.43750,150.25000,148.46875,4742500,149.75000,-0.004882
84398,09/13/2000,SPY,,147.65625,149.34375,148.89063,4555099,148.00000,0.001970
84398,09/14/2000,SPY,,148.15625,149.93750,148.46875,3391399,149.87500,-0.002721
84398,09/15/2000,SPY,,146.03125,148.25000,146.09375,4075699,148.18750,-0.010170
84398,09/18/2000,SPY,,144.20313,146.96875,144.65625,5104299,146.37500,-0.014531
84398,09/19/2000,SPY,,144.70313,146.31250,145.96875,6547799,145.12500,0.010654
84398,09/20/2000,SPY,,143.15625,146.03125,144.89063,6498500,145.68750,-0.005863
84398,09/21/2000,SPY,,143.75000,145.56250,145.18750,5346599,144.46875,-0.001578
84398,09/22/2000,SPY,,142.42188,145.31250,145.28125,7587399,142.62500,-0.000228
84398,09/25/2000,SPY,,143.71875,146.06250,144.15625,9715399,145.93750,-0.006689
84398,09/26/2000,SPY,,142.40625,145.00000,142.40625,5281199,144.37500,-0.008214
84398,09/27/2000,SPY,,142.12500,143.96875,143.15625,6049299,143.56250,-0.000448
84398,09/28/2000,SPY,,142.89063,146.32813,146.12500,6842799,143.18750,0.022235
84398,09/29/2000,SPY,,143.62500,145.96875,143.62500,8311699,145.46875,-0.014935
84398,10/02/2000,SPY,,143.14063,144.90625,143.84375,5517799,144.28125,-0.000195
84398,10/03/2000,SPY,,142.28125,145.75000,142.50000,9347199,144.53125,-0.006803
84398,10/04/2000,SPY,,141.75000,144.25000,143.68750,6149000,142.87500,0.005510
84398,10/05/2000,SPY,,143.31250,144.84375,144.18750,4566899,143.40625,0.001367
84398,10/06/2000,SPY,,139.75000,144.64063,141.06250,10014899,143.87500,-0.019000
84398,10/09/2000,SPY,,139.37500,141.31250,140.00000,4508000,141.31250,-0.004940
84398,10/10/2000,SPY,,137.68750,141.25000,137.68750,6104699,140.09375,-0.010706
84398,10/11/2000,SPY,,135.12500,138.62500,136.53125,10366000,137.62500,-0.016171
84398,10/12/2000,SPY,,132.78125,137.59375,133.12500,12336799,137.28125,-0.025509
84398,10/13/2000,SPY,,132.87500,137.65625,137.56250,11776799,132.93750,0.033381
84398,10/16/2000,SPY,,136.68750,138.23438,138.18750,5659000,137.40625,0.000327
84398,10/17/2000,SPY,,134.40625,138.56250,134.75000,7831699,138.43750,-0.017932
84398,10/18/2000,SPY,,130.15625,136.12500,134.25000,10897299,132.62500,-0.005808
84398,10/19/2000,SPY,,136.43750,139.45313,139.28125,8767299,136.84375,0.034743
84398,10/20/2000,SPY,,138.37500,141.18750,139.90625,7373500,138.37500,0.005883
84398,10/23/2000,SPY,,138.93750,141.03125,140.53125,5290000,139.93750,-0.000823
84398,10/24/2000,SPY,,139.00000,141.93750,139.59375,5750699,140.96875,0.001684
84398,10/25/2000,SPY,,136.12500,139.56250,136.31250,9136099,138.75000,-0.023767
84398,10/26/2000,SPY,,134.03125,137.65625,136.68750,9345799,137.12500,-0.000337
84398,10/27/2000,SPY,,136.62500,139.28125,139.28125,9762899,137.87500,0.011096
84398,10/30/2000,SPY,,138.15625,141.09375,140.53125,10154099,138.43750,0.013830
