date,Mkt-RF,SMB,HML,RMW,CMA,RF
20061031,-0.07,-0.37,-0.17,-0.05,-0.11,0.018
20061101,-0.87,-0.97,0.29,0.29,0.5,0.02
20061102,-0.05,-0.22,0.03,-0.12,-0.15,0.02
20061103,-0.12,0.56,-0.02,-0.04,-0.14,0.02
20061106,1.16,0.23,-0.13,-0.06,-0.02,0.02
20061107,0.23,0.03,-0.25,-0.3,0.09,0.02
20061108,0.29,0.35,0.33,-0.1,0.01,0.02
20061109,-0.58,-0.42,0.31,0.19,0.07,0.02
20061110,0.26,0.64,0.08,-0.26,-0.1,0.02
20061113,0.27,0.12,0.01,-0.33,0.03,0.02
20061114,0.71,0.86,-0.23,0.13,-0.17,0.02
20061115,0.35,0.53,-0.34,0.06,-0.12,0.02
20061116,0.16,-0.34,0.14,-0.28,0.51,0.02
20061117,0.03,-0.33,-0.23,0.23,-0.07,0.02
20061120,-0.06,0.24,0.02,0.07,-0.07,0.02
20061121,0.14,0.02,-0.09,0.18,-0.48,0.02
20061122,0.28,-0.15,-0.24,-0.1,-0.02,0.02
20061124,-0.32,0.24,0.08,-0.02,-0.1,0.02
20061127,-1.53,-0.95,0.29,0.28,0.05,0.02
20061128,0.3,0,-0.04,0.3,-0.17,0.02
20061129,0.95,0.21,-0.08,0.27,-0.38,0.02
20061130,0.11,0.12,0.16,-0.27,-0.15,0.02
20061201,-0.3,-0.3,0.12,0.12,-0.02,0.02
20061204,0.99,0.84,-0.17,0,-0.01,0.02
20061205,0.41,-0.17,0.25,-0.05,-0.09,0.02
20061206,-0.1,-0.06,0.14,-0.1,-0.07,0.02
20061207,-0.41,0.01,0.06,-0.04,0.21,0.02
20061208,0.14,-0.15,-0.11,-0.13,0.22,0.02
20061211,0.18,-0.26,0.64,-0.18,0.03,0.02
20061212,-0.2,-0.47,0.45,-0.08,0.2,0.02
20061213,0.09,-0.02,0.13,0.24,-0.03,0.02
20061214,0.8,-0.13,-0.1,0.18,0.28,0.02
20061215,0.07,-0.33,0.39,-0.34,0.31,0.02
20061218,-0.46,-0.95,0.19,-0.33,0.42,0.02
20061219,0.16,-0.12,0.03,0.1,0.06,0.02
20061220,-0.12,0.55,0.1,-0.19,0.2,0.02
20061221,-0.38,0.05,0.34,-0.05,0.16,0.02
20061222,-0.48,0.3,0.07,-0.09,0.1,0.02
20061226,0.44,0.37,0.38,0.05,0.24,0.02
20061227,0.74,0.54,-0.1,0.25,-0.1,0.02
20061228,-0.18,-0.17,-0.04,0.09,-0.1,0.02
20061229,-0.51,-0.28,-0.13,-0.11,-0.05,0.02
20070103,-0.04,-0.04,0.17,-0.24,0.83,0.022
20070104,0.16,0.1,-0.5,-0.33,0.04,0.022
20070105,-0.73,-0.95,-0.28,0.07,-0.15,0.022
20070108,0.24,-0.05,0.05,0.01,0.02,0.022
20070109,0,0.21,-0.3,0.12,0.25,0.022
20070110,0.23,-0.15,-0.19,-0.45,-0.04,0.022
20070111,0.74,0.48,-0.35,-0.03,0.32,0.022
20070112,0.5,0.24,-0.29,0.21,-0.13,0.022
20070116,0,-0.3,0,-0.23,0.19,0.022
20070117,-0.14,-0.19,-0.04,0.27,-0.18,0.022
20070118,-0.48,-0.91,0.42,0.4,0.44,0.022
20070119,0.33,0.44,0.08,0.12,-0.39,0.022
20070122,-0.55,-0.39,0.3,0.08,0.19,0.022
20070123,0.37,0.65,0.04,0.38,-0.39,0.022
20070124,0.84,0.2,-0.23,-0.12,-0.38,0.022
20070125,-1.15,-0.06,-0.09,-0.14,0.07,0.022
20070126,-0.06,0.56,0.11,0.1,-0.07,0.022
20070129,0.02,0.61,0.24,-0.13,0.11,0.022
20070130,0.52,0.05,0.17,-0.15,-0.25,0.022
20070131,0.64,-0.39,0.02,0.26,-0.15,0.022
20070201,0.59,0.35,-0.2,0.23,-0.14,0.02
20070202,0.15,0.11,0.22,-0.01,-0.07,0.02
20070205,-0.12,-0.26,0.11,-0.15,0.04,0.02
20070206,0.1,0.28,0.22,-0.1,-0.05,0.02
20070207,0.21,0.35,0.07,-0.53,0.13,0.02
20070208,-0.1,0.21,-0.25,-0.14,-0.16,0.02
20070209,-0.76,-0.31,0.19,0.02,0.19,0.02
20070212,-0.35,0.24,0.11,0.08,0.19,0.02
20070213,0.72,-0.09,0.31,0.06,-0.06,0.02
20070214,0.73,-0.52,-0.19,-0.1,-0.07,0.02
20070215,0.11,0.08,-0.41,0.14,-0.03,0.02
20070216,0,0.32,0.06,-0.13,-0.38,0.02
20070220,0.42,0.59,-0.13,-0.1,-0.12,0.02
20070221,-0.09,0.31,-0.23,0.2,-0.06,0.02
20070222,-0.06,0.36,-0.13,-0.04,-0.17,0.02
20070223,-0.31,0.12,-0.28,0.06,-0.08,0.02
20070226,-0.19,-0.13,0.05,0.17,0.06,0.02
20070227,-3.43,-0.18,0.18,-0.01,0.18,0.02
20070228,0.47,-0.5,0.2,-0.11,-0.06,0.02
20070301,-0.25,-0.04,0.14,0.19,0.07,0.019
20070302,-1.24,-0.64,0.25,-0.19,-0.01,0.019
20070305,-1.11,-0.76,-0.31,-0.06,0.39,0.019
